iter	Passed	Remaining
399	45424	68137
400	45510	67981
401	45599	67832
402	45689	67683
403	45778	67535
404	45865	67382
405	45960	67243
406	46059	67108
407	46149	66961
408	46252	66834
409	46347	66695
410	46438	66550
411	46527	66403
412	46617	66258
413	46703	66106
414	46791	65959
415	46878	65810
416	46967	65664
417	47091	65567
418	47211	65465
419	47341	65376
420	47462	65274
421	47564	65147
422	47654	65003
423	47784	64915
424	47918	64831
425	48034	64723
426	48122	64576
427	48208	64428
428	48333	64331
429	48446	64219
430	48551	64096
431	48653	63969
432	48763	63853
433	48864	63726
434	48966	63600
435	49083	63493
436	49195	63379
437	49303	63261
438	49419	63154
439	49534	63044
440	49642	62925
441	49749	62805
442	49855	62684
443	49965	62568
444	50069	62445
445	50171	62320
446	50272	62194
447	50374	62068
448	50475	61942
449	50578	61818
450	50678	61690
451	50780	61565
452	50880	61438
453	50981	61312
454	51078	61182
455	51180	61056
456	51281	60931
457	51384	60808
458	51485	60682
459	51584	60555
460	51686	60431
461	51786	60305
462	51884	60176
463	51984	60051
464	52085	59926
465	52222	59843
466	52359	59759
467	52478	59654
468	52602	59556
469	52707	59436
470	52809	59312
471	52912	59190
472	53014	59067
473	53114	58941
474	53217	58818
475	53318	58695
476	53420	58571
477	53519	58445
478	53619	58320
479	53717	58193
480	53806	58057
481	53907	57933
482	54005	57806
483	54105	57682
484	54203	57555
485	54303	57431
486	54405	57310
487	54505	57185
488	54604	57061
489	54709	56942
490	54808	56818
491	54907	56692
492	55013	56576
493	55113	56452
494	55212	56327
495	55314	56206
496	55411	56080
497	55509	55955
498	55610	55833
499	55708	55708
500	55807	55585
501	55907	55462
502	56005	55337
503	56095	55205
504	56197	55084
505	56299	54964
506	56386	54829
507	56490	54711
508	56590	54588
509	56687	54464
510	56775	54331
511	56875	54209
512	56974	54087
513	57065	53957
514	57168	53837
515	57264	53713
516	57366	53594
517	57464	53470
518	57565	53350
519	57665	53229
520	57756	53100
521	57855	52978
522	57945	52849
523	58047	52730
524	58148	52610
525	58251	52493
526	58356	52377
527	58459	52259
528	58561	52140
529	58665	52023
530	58768	51906
531	58875	51792
532	58977	51674
533	59081	51557
534	59184	51440
535	59285	51321
536	59385	51201
537	59488	51085
538	59587	50964
539	59685	50843
540	59775	50715
541	59874	50595
542	59974	50475
543	60072	50354
544	60165	50229
545	60264	50110
546	60365	49992
547	60453	49863
548	60554	49744
549	60654	49626
550	60748	49502
551	60846	49382
552	60946	49264
553	61039	49139
554	61136	49019
555	61233	48898
556	61330	48778
557	61431	48660
558	61532	48543
559	61631	48424
560	61726	48302
561	61828	48186
562	61927	48067
563	62025	47949
564	62125	47831
565	62224	47713
566	62316	47589
567	62417	47472
568	62518	47355
569	62603	47227
570	62698	47106
571	62798	46988
572	62895	46869
573	62998	46754
574	63085	46628
575	63186	46512
576	63280	46391
577	63391	46282
578	63476	46154
579	63578	46039
580	63677	45922
581	63777	45806
582	63880	45691
583	63973	45570
584	64075	45455
585	64168	45334
586	64269	45218
587	64374	45105
588	64460	44980
589	64553	44859
590	64654	44744
591	64753	44627
592	64851	44510
593	64938	44385
594	65037	44269
595	65135	44152
596	65222	44027
597	65314	43907
598	65413	43791
599	65510	43673
600	65609	43557
601	65708	43441
602	65809	43327
603	65907	43210
604	65998	43090
605	66099	42975
606	66198	42860
607	66286	42737
608	66390	42624
609	66483	42505
610	66580	42389
611	66684	42277
612	66783	42162
613	66882	42046
614	66984	41933
615	67075	41813
616	67176	41699
617	67276	41585
618	67376	41470
619	67474	41355
620	67578	41243
621	67676	41128
622	67776	41014
623	67871	40896
624	67970	40782
625	68063	40664
626	68163	40550
627	68262	40435
628	68361	40321
629	68461	40207
630	68560	40093
631	68652	39975
632	68757	39864
633	68857	39750
634	68952	39633
635	69054	39521
636	69140	39400
637	69239	39286
638	69342	39174
639	69440	39060
640	69528	38940
641	69630	38828
642	69729	38714
643	69816	38594
644	69916	38481
645	70001	38359
646	70100	38246
647	70190	38128
648	70276	38007
649	70374	37894
650	70470	37779
651	70569	37665
652	70671	37554
653	70771	37441
654	70870	37328
655	70962	37211
656	71061	37099
657	71160	36985
658	71256	36871
659	71356	36759
660	71454	36645
661	71553	36533
662	71652	36420
663	71746	36305
664	71850	36195
665	71949	36082
666	72047	35969
667	72140	35854
668	72237	35741
669	72326	35623
670	72426	35511
671	72513	35393
672	72602	35276
673	72703	35164
674	72800	35052
675	72897	34939
676	72997	34827
677	73095	34715
678	73186	34598
679	73286	34487
680	73379	34373
681	73478	34261
682	73583	34152
683	73683	34040
684	73780	33928
685	73887	33820
686	73978	33704
687	74078	33593
688	74183	33484
689	74282	33373
690	74384	33263
691	74486	33152
692	74588	33043
693	74691	32933
694	74792	32822
695	74904	32717
696	75016	32611
697	75116	32500
698	75219	32390
699	75320	32280
700	75423	32170
701	75524	32060
702	75623	31949
703	75727	31839
704	75826	31728
705	75927	31618
706	76031	31509
707	76131	31398
708	76231	31288
709	76334	31178
710	76435	31068
711	76535	30958
712	76642	30850
713	76752	30744
714	76856	30635
715	76958	30525
716	77062	30416
717	77155	30303
718	77259	30194
719	77358	30083
720	77459	29974
721	77563	29865
722	77664	29755
723	77800	29658
724	77902	29549
725	78002	29439
726	78106	29330
727	78209	29221
728	78319	29114
729	78425	29006
730	78528	28897
731	78632	28788
732	78734	28679
733	78834	28569
734	78943	28462
735	79043	28352
736	79143	28242
737	79247	28134
738	79348	28024
739	79449	27914
740	79553	27806
741	79654	27696
742	79756	27587
743	79858	27478
744	79960	27368
745	80059	27258
746	80163	27150
747	80262	27040
748	80364	26931
749	80465	26821
750	80569	26713
751	80670	26604
752	80772	26495
753	80873	26385
754	80972	26275
755	81073	26166
756	81174	26057
757	81275	25948
758	81375	25838
759	81476	25729
760	81578	25620
761	81681	25512
762	81786	25404
763	81888	25295
764	81991	25187
765	82091	25077
766	82194	24969
767	82295	24860
768	82398	24751
769	82500	24642
770	82603	24534
771	82705	24426
772	82814	24319
773	82914	24210
774	83015	24101
775	83114	23991
776	83216	23883
777	83314	23773
778	83413	23664
779	83512	23554
780	83612	23445
781	83717	23338
782	83819	23229
783	83916	23119
784	84019	23011
785	84117	22902
786	84216	22793
787	84316	22684
788	84417	22575
789	84503	22462
790	84605	22354
791	84696	22243
792	84794	22134
793	84901	22027
794	84999	21918
795	85098	21809
796	85199	21700
797	85321	21597
798	85423	21489
799	85522	21380
800	85621	21271
801	85722	21163
802	85819	21054
803	85920	20945
804	86018	20836
805	86116	20727
806	86220	20620
807	86318	20511
808	86415	20402
809	86517	20294
810	86616	20185
811	86714	20076
812	86816	19968
813	86915	19860
814	87018	19752
815	87120	19644
816	87217	19535
817	87316	19427
818	87419	19319
819	87517	19211
820	87617	19103
821	87719	18995
822	87817	18886
823	87915	18778
824	88015	18670
825	88115	18561
826	88214	18453
827	88320	18346
828	88418	18238
829	88516	18129
830	88619	18022
831	88725	17915
832	88825	17807
833	88925	17699
834	89023	17591
835	89125	17483
836	89223	17375
837	89322	17267
838	89422	17159
839	89521	17051
840	89620	16943
841	89722	16836
842	89820	16728
843	89919	16620
844	90019	16512
845	90118	16404
846	90216	16296
847	90317	16189
848	90416	16081
849	90519	15974
850	90621	15866
851	90720	15758
852	90819	15651
853	90920	15543
854	91018	15435
855	91120	15328
856	91221	15221
857	91320	15113
858	91420	15006
859	91520	14898
860	91621	14791
861	91721	14684
862	91820	14576
863	91921	14469
864	92019	14361
865	92119	14254
866	92220	14146
867	92319	14039
868	92417	13931
869	92517	13824
870	92617	13717
871	92717	13609
872	92819	13503
873	92917	13395
874	93015	13287
875	93117	13181
876	93217	13073
877	93326	12967
878	93426	12860
879	93524	12753
880	93625	12646
881	93724	12539
882	93822	12431
883	93924	12324
884	94020	12217
885	94119	12110
886	94221	12003
887	94320	11896
888	94418	11789
889	94519	11682
890	94622	11575
891	94719	11468
892	94820	11361
893	94919	11254
894	95018	11147
895	95117	11040
896	95216	10933
897	95314	10826
898	95413	10719
899	95512	10612
900	95610	10505
901	95712	10398
902	95810	10291
903	95909	10185
904	96011	10078
905	96113	9971
906	96213	9865
907	96314	9758
908	96415	9652
909	96519	9545
910	96624	9439
911	96727	9333
912	96827	9226
913	96926	9119
914	97025	9013
915	97127	8906
916	97225	8800
917	97325	8693
918	97424	8586
919	97522	8480
920	97625	8373
921	97723	8267
922	97821	8160
923	97922	8054
924	98020	7947
925	98119	7841
926	98220	7734
927	98320	7628
928	98418	7521
929	98517	7415
930	98615	7308
931	98713	7202
932	98814	7096
933	98914	6989
934	99013	6883
935	99116	6777
936	99213	6670
937	99312	6564
938	99415	6458
939	99513	6351
940	99613	6245
941	99714	6139
942	99812	6033
943	99910	5926
944	100011	5820
945	100109	5714
946	100207	5608
947	100308	5502
948	100406	5395
949	100506	5289
950	100607	5183
951	100713	5078
952	100812	4971
953	100912	4865
954	101010	4759
955	101113	4653
956	101211	4547
957	101310	4441
958	101409	4335
959	101508	4229
960	101609	4123
961	101708	4017
962	101807	3911
963	101905	3805
964	102006	3699
965	102106	3593
966	102206	3487
967	102311	3382
968	102411	3276
969	102514	3170
970	102612	3064
971	102713	2958
972	102812	2852
973	102910	2747
974	103011	2641
975	103108	2535
976	103206	2429
977	103306	2323
978	103403	2218
979	103501	2112
980	103605	2006
981	103706	1900
982	103806	1795
983	103905	1689
984	104002	1583
985	104101	1478
986	104202	1372
987	104304	1266
988	104402	1161
989	104502	1055
990	104601	949
991	104699	844
992	104803	738
993	104902	633
994	104999	527
995	105101	422
996	105198	316
997	105297	211
998	105399	105
999	105497	0
